home_team,away_team,home_goals,away_goals,is_knockout,penalties_winner
Mexico,South Africa,2,0,False,
South Korea,Czechia,2,1,False,
Czechia,South Africa,1,1,False,
Mexico,South Korea,1,0,False,
Czechia,Mexico,0,3,False,
South Africa,South Korea,1,0,False,
Canada,Bosnia and Herzegovina,1,1,False,
Switzerland,Qatar,1,1,False,
Switzerland,Bosnia and Herzegovina,4,1,False,
Canada,Qatar,6,0,False,
Switzerland,Canada,3,1,False,
Bosnia and Herzegovina,Qatar,3,1,False,
Brazil,Morocco,1,1,False,
Scotland,Haiti,1,0,False,
Scotland,Morocco,1,2,False,
Brazil,Haiti,3,0,False,
Scotland,Brazil,0,1,False,
Morocco,Haiti,2,0,False,
USA,Paraguay,4,1,False,
Australia,Turkiye,2,0,False,
USA,Australia,1,1,False,
Turkiye,Paraguay,1,1,False,
Turkiye,USA,1,2,False,
Paraguay,Australia,1,0,False,
Germany,Curacao,7,1,False,
Ivory Coast,Ecuador,1,0,False,
Germany,Ivory Coast,1,1,False,
Ecuador,Curacao,2,0,False,
Curacao,Ivory Coast,0,3,False,
Ecuador,Germany,1,2,False,
Netherlands,Japan,2,2,False,
Sweden,Tunisia,5,1,False,
Netherlands,Sweden,1,1,False,
Tunisia,Japan,0,1,False,
Tunisia,Netherlands,0,3,False,
Japan,Sweden,1,2,False,
Belgium,Egypt,1,1,False,
Iran,New Zealand,2,2,False,
Belgium,Iran,2,0,False,
New Zealand,Egypt,0,1,False,
Egypt,Iran,1,1,False,
New Zealand,Belgium,0,2,False,
Spain,Cape Verde,0,0,False,
Saudi Arabia,Uruguay,1,1,False,
Spain,Saudi Arabia,2,0,False,
Uruguay,Cape Verde,1,1,False,
Uruguay,Spain,0,2,False,
Cape Verde,Saudi Arabia,1,0,False,
France,Senegal,3,1,False,
Norway,Iraq,4,1,False,
France,Iraq,3,0,False,
Norway,Senegal,2,1,False,
Norway,France,2,1,False,
Senegal,Iraq,2,0,False,
Argentina,Algeria,3,0,False,
Austria,Jordan,3,1,False,
Argentina,Austria,2,0,False,
Jordan,Algeria,1,1,False,
Jordan,Argentina,0,3,False,
Algeria,Austria,0,2,False,
Portugal,DR Congo,1,1,False,
Uzbekistan,Colombia,1,3,False,
Portugal,Uzbekistan,3,0,False,
Colombia,DR Congo,1,0,False,
Colombia,Portugal,1,0,False,
DR Congo,Uzbekistan,2,0,False,
England,Croatia,4,2,False,
Ghana,Panama,1,0,False,
England,Ghana,1,0,False,
Panama,Croatia,0,1,False,
Panama,England,0,3,False,
Croatia,Ghana,1,0,False,
South Africa,Canada,0,1,True,
Brazil,Japan,2,1,True,
Germany,Paraguay,1,1,True,Paraguay
Netherlands,Morocco,1,1,True,Morocco
Ivory Coast,Norway,1,2,True,
France,Sweden,3,0,True,
Mexico,Ecuador,2,0,True,
England,DR Congo,2,1,True,
Belgium,Senegal,3,2,True,
USA,Bosnia and Herzegovina,2,0,True,
Spain,Austria,3,0,True,
Portugal,Croatia,2,1,True,
Switzerland,Algeria,2,0,True,
Australia,Egypt,1,1,True,Egypt
Argentina,Cape Verde,3,2,True,
Colombia,Ghana,1,0,True,
Morocco,Canada,3,0,True,
France,Paraguay,1,0,True,
Brazil,Norway,0,2,True,
Mexico,England,2,3,True,
Spain,Portugal,1,0,True,
Belgium,USA,4,1,True,
Argentina,Egypt,3,2,True,
Switzerland,Colombia,0,0,True,Switzerland
