team,pre_tournament_elo
Spain,2080
Argentina,2065
France,2055
England,2040
Brazil,2035
Portugal,2000
Netherlands,1980
Belgium,1965
Germany,1960
Italy,1955
Croatia,1935
Morocco,1920
Colombia,1915
Switzerland,1905
USA,1895
Mexico,1880
Uruguay,1900
Denmark,1890
Norway,1870
Senegal,1860
Japan,1855
Ecuador,1845
Austria,1840
Sweden,1835
Canada,1820
Egypt,1815
Ivory Coast,1830
Ghana,1800
South Korea,1810
Australia,1790
Iran,1785
Tunisia,1780
Paraguay,1775
Panama,1740
Algeria,1770
Scotland,1760
Qatar,1700
Turkiye,1830
Bosnia and Herzegovina,1790
South Africa,1730
Czechia,1750
Cape Verde,1690
Jordan,1680
Iraq,1670
Curacao,1620
Haiti,1650
New Zealand,1660
Uzbekistan,1680
Saudi Arabia,1750
DR Congo,1700
